['time stamp', 'Stock Symbol', 'sentiment ratio', 'stock price (current)']
['2018-09-12 11:23:20', 'AMD', 33, 30.395]
['2018-09-12 11:24:21', 'AMD', 16, 30.39]
['2018-09-12 11:25:22', 'AMD', 16, 30.38]
['2018-09-12 11:26:23', 'AMD', 33, 30.29]
['2018-09-12 11:27:23', 'AMD', 30, 30.29]
['2018-09-12 11:28:24', 'AMD', 36, 30.32]
['2018-09-12 11:29:25', 'AMD', 46, 30.345]
['2018-09-12 11:30:26', 'AMD', 60, 30.38]
['2018-09-12 11:31:27', 'AMD', 66, 30.4]
['2018-09-12 11:32:27', 'AMD', 66, 30.41]
['2018-09-12 11:33:28', 'AMD', 73, 30.43]
['2018-09-12 11:34:29', 'AMD', 63, 30.46]
['2018-09-12 11:35:30', 'AMD', 63, 30.465]
['2018-09-12 11:36:31', 'AMD', 56, 30.46]
['2018-09-12 11:37:32', 'AMD', 53, 30.44]
['2018-09-12 11:38:32', 'AMD', 50, 30.39]
['2018-09-12 11:39:33', 'AMD', 60, 30.36]
['2018-09-12 11:40:34', 'AMD', 63, 30.42]
['2018-09-12 11:41:35', 'AMD', 66, 30.445]
['2018-09-12 11:42:36', 'AMD', 63, 30.38]
['2018-09-12 11:43:37', 'AMD', 70, 30.37]
['2018-09-12 11:44:37', 'AMD', 66, 30.345]
['2018-09-12 11:45:38', 'AMD', 63, 30.38]
['2018-09-12 11:46:40', 'AMD', 60, 30.35]
['2018-09-12 11:47:40', 'AMD', 53, 30.3]
['2018-09-12 11:48:41', 'AMD', 60, 30.34]
['2018-09-12 11:49:42', 'AMD', 53, 30.375]
['2018-09-12 11:50:43', 'AMD', 56, 30.29]
['2018-09-12 11:51:44', 'AMD', 60, 30.3]
['2018-09-12 11:52:45', 'AMD', 56, 30.32]
['2018-09-12 11:53:45', 'AMD', 63, 30.32]
['2018-09-12 11:54:46', 'AMD', 66, 30.32]
['2018-09-12 11:55:47', 'AMD', 63, 30.295]
['2018-09-12 11:56:48', 'AMD', 60, 30.27]
['2018-09-12 11:57:49', 'AMD', 60, 30.28]
['2018-09-12 11:58:49', 'AMD', 63, 30.285]
['2018-09-12 11:59:50', 'AMD', 50, 30.29]
['2018-09-12 12:00:51', 'AMD', 46, 30.325]
['2018-09-12 12:01:52', 'AMD', 40, 30.27]
['2018-09-12 12:02:53', 'AMD', 36, 30.335]
['2018-09-12 12:03:53', 'AMD', 36, 30.35]
['2018-09-12 12:04:55', 'AMD', 33, 30.41]
['2018-09-12 12:05:55', 'AMD', 33, 30.44]
['2018-09-12 12:06:56', 'AMD', 46, 30.41]
['2018-09-12 12:07:57', 'AMD', 56, 30.455]
['2018-09-12 12:08:58', 'AMD', 63, 30.45]
['2018-09-12 12:09:59', 'AMD', 60, 30.4]
['2018-09-12 12:11:00', 'AMD', 63, 30.435]
['2018-09-12 12:12:01', 'AMD', 56, 30.47]
['2018-09-12 12:13:02', 'AMD', 53, 30.5]
['2018-09-12 12:14:03', 'AMD', 60, 30.55]
['2018-09-12 12:15:04', 'AMD', 66, 30.61]
['2018-09-12 12:16:05', 'AMD', 70, 30.69]
['2018-09-12 12:17:06', 'AMD', 76, 30.745]
['2018-09-12 12:18:06', 'AMD', 63, 30.835]
['2018-09-12 12:19:07', 'AMD', 43, 30.78]
['2018-09-12 12:20:08', 'AMD', 53, 30.87]
['2018-09-12 12:21:09', 'AMD', 46, 30.88]
['2018-09-12 12:22:10', 'AMD', 43, 30.95]
['2018-09-12 12:23:11', 'AMD', 60, 30.945]
['2018-09-12 12:24:12', 'AMD', 70, 30.94]
['2018-09-12 12:25:13', 'AMD', 50, 30.885]
['2018-09-12 12:26:14', 'AMD', 56, 30.87]
['2018-09-12 12:27:15', 'AMD', 60, 30.915]
['2018-09-12 12:28:15', 'AMD', 50, 30.89]
['2018-09-12 12:29:16', 'AMD', 53, 30.87]
['2018-09-12 12:30:17', 'AMD', 46, 30.85]
['2018-09-12 12:31:18', 'AMD', 53, 30.87]
['2018-09-12 12:32:19', 'AMD', 56, 30.79]
['2018-09-12 12:33:19', 'AMD', 63, 30.8]
['2018-09-12 12:34:20', 'AMD', 63, 30.75]
['2018-09-12 12:35:21', 'AMD', 60, 30.76]
['2018-09-12 12:36:25', 'AMD', 50, 30.845]
['2018-09-12 12:37:26', 'AMD', 43, 30.8]
['2018-09-12 12:38:27', 'AMD', 36, 30.865]
['2018-09-12 12:39:27', 'AMD', 43, 30.93]
['2018-09-12 12:40:28', 'AMD', 60, 30.93]
['2018-09-12 12:41:29', 'AMD', 76, 31.06]
['2018-09-12 12:42:30', 'AMD', 73, 31.075]
['2018-09-12 12:43:31', 'AMD', 63, 31.105]
['2018-09-12 12:44:31', 'AMD', 56, 31.03]
['2018-09-12 12:45:32', 'AMD', 63, 31.1]
['2018-09-12 12:46:33', 'AMD', 50, 31.08]
['2018-09-12 12:47:34', 'AMD', 50, 31.13]
['2018-09-12 12:48:35', 'AMD', 60, 31.18]
['2018-09-12 12:49:36', 'AMD', 56, 31.195]
['2018-09-12 12:50:37', 'AMD', 53, 31.13]
['2018-09-12 12:51:37', 'AMD', 50, 31.15]
['2018-09-12 12:52:38', 'AMD', 43, 31.1]
['2018-09-12 12:53:39', 'AMD', 56, 31.11]
['2018-09-12 12:54:40', 'AMD', 60, 31.19]
['2018-09-12 12:55:41', 'AMD', 53, 31.145]
['2018-09-12 13:09:56', 'AMD', 60, 31.53]
['2018-09-12 19:37:09', 'AMD', 20, 32.21]
['2018-09-12 19:52:18', 'AMD', 13, -5, 8, 26, 32.21]
['2018-09-12 20:34:17', 'AMD', 15, -2, 13, 43, 32.21]
['2018-09-12 20:34:27', 'AMD', 15, -2, 13, 43, 32.21]
['2018-09-12 20:37:09', 'AMD', 17, 0, 17, 56, 32.21]
['2018-09-12 20:37:19', 'AMD', 17, 0, 17, 56, 32.21]
['2018-09-12 20:39:54', 'AMD', 17, 0, 17, 56, 32.21]
['2018-09-12 20:40:44', 'AMD', 18, 0, 18, 60, 32.21]
['2018-09-12 20:40:55', 'AMD', 18, 0, 18, 60, 32.21]
['2018-09-12 20:41:05', 'AMD', 18, 0, 18, 60, 32.21]
['2018-09-12 20:41:29', 'AMD', 18, 0, 18, 60, 32.21]
['2018-09-13 21:44:05', 'Thursday', 'AMD', 8, -4, 4, 13, 30.48]
['2018-09-13 21:44:21', 'Thursday', 'AMD', 8, -4, 4, 13, 30.48]
['2018-09-14 14:01:48', 'Friday', 'AMD', 14, -1, 13, 43, 32.74]
['2018-09-14 14:02:50', 'Friday', 'AMD', 15, -1, 14, 46, 32.73]
['2018-09-14 14:03:51', 'Friday', 'AMD', 20, -2, 18, 60, 32.73]
['2018-09-14 14:04:53', 'Friday', 'AMD', 19, -1, 18, 60, 32.79]
['2018-09-14 14:05:54', 'Friday', 'AMD', 20, -1, 19, 63, 32.82]
['2018-09-14 14:06:56', 'Friday', 'AMD', 18, -2, 16, 53, 32.86]
['2018-09-14 14:07:57', 'Friday', 'AMD', 19, -1, 18, 60, 32.81]
['2018-09-14 14:08:58', 'Friday', 'AMD', 16, 0, 16, 53, 32.84]
['2018-09-14 14:10:01', 'Friday', 'AMD', 17, -1, 16, 53, 32.88]
['2018-09-14 14:11:03', 'Friday', 'AMD', 20, -1, 19, 63, 32.9]
['2018-09-14 14:12:04', 'Friday', 'AMD', 19, -1, 18, 60, 32.865]
['2018-09-14 14:13:06', 'Friday', 'AMD', 17, -1, 16, 53, 32.855]
['2018-09-14 14:14:07', 'Friday', 'AMD', 15, 0, 15, 50, 32.87]
['2018-09-14 14:15:08', 'Friday', 'AMD', 13, 0, 13, 43, 32.87]
['2018-09-14 14:16:10', 'Friday', 'AMD', 14, 0, 14, 46, 32.88]
['2018-09-14 14:17:11', 'Friday', 'AMD', 13, 0, 13, 43, 32.87]
['2018-09-14 14:18:13', 'Friday', 'AMD', 14, 0, 14, 46, 32.96]
['2018-09-14 14:19:14', 'Friday', 'AMD', 14, -1, 13, 43, 32.945]
['2018-09-14 14:20:16', 'Friday', 'AMD', 16, -1, 15, 50, 32.94]
['2018-09-14 14:21:17', 'Friday', 'AMD', 20, 0, 20, 66, 32.925]
['2018-09-14 14:22:19', 'Friday', 'AMD', 15, -3, 12, 40, 32.93]
['2018-09-14 14:23:20', 'Friday', 'AMD', 19, -5, 14, 46, 32.895]
['2018-09-14 14:24:22', 'Friday', 'AMD', 19, -2, 17, 56, 32.92]
['2018-09-14 14:25:23', 'Friday', 'AMD', 17, 0, 17, 56, 32.95]
['2018-09-14 14:26:24', 'Friday', 'AMD', 16, -1, 15, 50, 33.05]
['2018-09-14 14:27:26', 'Friday', 'AMD', 16, -1, 15, 50, 33.005]
['2018-09-14 14:28:27', 'Friday', 'AMD', 16, -2, 14, 46, 32.99]
['2018-09-14 14:29:29', 'Friday', 'AMD', 12, -2, 10, 33, 32.88]
['2018-09-14 14:30:30', 'Friday', 'AMD', 13, -2, 11, 36, 32.8]
